,Var1,Var2,Freq
148,11,111,286406
191,31,132,110
3,2132,1,15903
24,2132,2,205
45,2132,3,21820
66,2132,4,647588
87,2132,5,1854930
129,2132,7,314467
171,2132,120,88198
192,2132,132,110
213,2132,180,53258
4,2136,1,96
25,2136,2,13
46,2136,3,26
67,2136,4,1389
88,2136,5,19856
130,2136,7,135
172,2136,120,2387
214,2136,180,3
5,2138,1,98
26,2138,2,4328
47,2138,3,2798
68,2138,4,2
89,2138,5,120
131,2138,7,2901
173,2138,120,338
215,2138,180,834
6,2139,1,3545
27,2139,2,2517
48,2139,3,446366
132,2139,7,41158
174,2139,120,31336
195,2139,132,10
216,2139,180,5735
7,2140,1,7406
28,2140,2,814
49,2140,3,19956
70,2140,4,126602
91,2140,5,1216336
133,2140,7,227760
175,2140,120,85329
196,2140,132,81
217,2140,180,81498
8,2141,1,8560
29,2141,2,85
50,2141,3,35393
71,2141,4,708933
92,2141,5,1022912
134,2141,7,379799
176,2141,120,120628
197,2141,132,23
218,2141,180,73813
9,2142,1,2868
30,2142,2,27450
51,2142,3,35510
72,2142,4,125
93,2142,5,2817
135,2142,7,211589
177,2142,120,23905
198,2142,132,4
219,2142,180,110600
10,2143,1,173
52,2143,3,422
73,2143,4,7311
94,2143,5,19
136,2143,7,17513
178,2143,120,4170
220,2143,180,21547
11,2146,1,146
32,2146,2,478
53,2146,3,3701
116,2146,6,14568
137,2146,7,2530
179,2146,120,2607
221,2146,180,11613
12,2147,1,272
33,2147,2,10
54,2147,3,1204
75,2147,4,7127
96,2147,5,33894
138,2147,7,3842
180,2147,120,3697
222,2147,180,7123
13,2150,1,377
34,2150,2,10
55,2150,3,3913
76,2150,4,3134
139,2150,7,9090
181,2150,120,1614
223,2150,180,23071
14,2151,1,20
35,2151,2,2
56,2151,3,5872
77,2151,4,51
140,2151,7,4548
182,2151,120,930
224,2151,180,2314
15,2153,1,13173
36,2153,2,155600
141,2153,7,27482
183,2153,120,12068
225,2153,180,73368
16,2155,1,4961
37,2155,2,27448
58,2155,3,9132
79,2155,4,17027
142,2155,7,33360
184,2155,120,6413
226,2155,180,63618
17,2156,1,1342
38,2156,2,16577
59,2156,3,2075
143,2156,7,30735
185,2156,120,3820
227,2156,180,24590
18,2157,1,2593
39,2157,2,4266
60,2157,3,3995
81,2157,4,804
144,2157,7,3217
186,2157,120,289
228,2157,180,8961
40,2158,2,7
82,2158,4,386
124,2158,6,28
145,2158,7,123
187,2158,120,17
208,2158,132,88
229,2158,180,171
20,2159,1,361
41,2159,2,796
62,2159,3,5036
83,2159,4,6076
146,2159,7,5124
188,2159,120,1236
209,2159,132,3
230,2159,180,1290
21,2160,1,9236
42,2160,2,258
63,2160,3,34166
84,2160,4,739477
105,2160,5,1523049
147,2160,7,451344
189,2160,120,174497
210,2160,132,15
231,2160,180,198309
